"attracts","care_level","cycle","cones","cuisine","drought_tolerant","edible_fruit","edible_leaf","flowers","flower_color","flowering_season","fruits","fruit_color","growth_rate","hardiness_min","hardiness_max","harvest_season","indoor","invasive","leaf","leaf_color","maintenance","medicinal","origin","pest_susceptibility","poisonous_to_humans","poisonous_to_pets","propagation","pruning_month","salt_tolerant","seeds","soil","sunlight","thorny","tropical","type","watering","watering_period","id"
"[]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Spring","FALSE","","Moderate","8","10","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""United States""]","[]","0","0","[""Seed Propagation""]","June","FALSE","1","[""Well-drained""]","[""Full sun""]","FALSE","FALSE","Herb","Minimum","Morning","allium_falcifolium"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","","Moderate","3","8","","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""North America""]","[]","1","1","[""Seed Propagation"",""Cutting""]","August","FALSE","1","[""Well-drained"",""Sandy"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herbaceous perennial","Average","Morning","apocynum_androsaemifolium"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Spring","FALSE","","Low","4","9","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""Western United States""]","[]","0","0","[""Seed Propagation""]","August","TRUE","1","[""Well-drained"",""Gravelly""]","[""Full sun""]","FALSE","FALSE","Herbaceous perennial","Minimum","Morning","lewisia_rediviva"
"[]","High","Perennial","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","","","FALSE","","Moderate","7","9","","FALSE","FALSE","TRUE","Green","Moderate","FALSE","[""California"",""Oregon""]","[""Fungal leaf spot"",""Heart rot"",""Canker""]","0","0","[""Seed Propagation"",""Cutting""]","July","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Tree","Average","Morning","sequoia_sempervirens"
"[]","Easy","Annual","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","","","FALSE","","High","6","13","Autumn","FALSE","FALSE","TRUE","Green","Low","TRUE","[""Europe"",""North America"",""Asia""]","[]","0","0","[""Spore Propagation""]","October","FALSE","0","[""Well-drained"",""Loamy""]","[""Part shade"",""Full sun""]","FALSE","FALSE","Foliage House plants","Average","Morning","coprinus_comatus"
"[""Bees""]","Easy","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Yellow","Summer","TRUE","Brown","Moderate","8","10","Summer","FALSE","TRUE","FALSE","","Low","FALSE","[""Mediterranean Basin"",""Southern Europe"",""Northern Africa""]","[]","0","1","[""Seed Propagation""]","September","TRUE","1","[""Well-drained"",""Loamy Rocky""]","[""Full sun""]","FALSE","FALSE","Shrub","Minimum","Morning","spartium_junceum"
"[""Bees"",""Butterflies""]","Easy","Perennial","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","Yellow","Summer","TRUE","Brown","Moderate","3","10","Summer","FALSE","TRUE","TRUE","Green","Low","TRUE","[""Europe"",""Asia"",""North Africa""]","[""Aphids"",""Leafhoppers""]","1","1","[""Seed Propagation""]","August","TRUE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun""]","FALSE","FALSE","Herbaceous perennial","Minimum","Morning","lotus_corniculatus"
"[""Bees"",""Birds"",""Butterflies""]","Easy","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Red","Summer","FALSE","","Moderate","8","11","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""Bolivia""]","[""Spider mites"",""Aphids"",""Whiteflies""]","0","0","[""Seed Propagation"",""Cutting""]","March","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","TRUE","Shrub","Average","Morning","calliandra_haematocephala"
"[""bees"",""butterflies""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","","High","6","9","","FALSE","TRUE","TRUE","","Moderate","FALSE","[""Asia""]","[]","0","0","[""Seed Propagation"",""Cutting""]","February","TRUE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Tree","Average","Morning","albizia_julibrissin"
"[""Bees""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Yellow","Spring","TRUE","Brown","Moderate","9","11","Spring","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""Taiwan"",""China""]","[""Fungal leaf spot"",""Root rot""]","0","0","[""Seed Propagation""]","February","TRUE","1","[""Acidic"",""Well-drained""]","[""Full sun""]","TRUE","TRUE","Tree","Minimum","Morning","acacia_confusa"
"[""Bees"",""Butterflies""]","High","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","Brown","High","9","11","","FALSE","TRUE","TRUE","Green","High","TRUE","[""Central America"",""South America"",""Mexico""]","[]","1","1","[""Seed Propagation""]","September","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun""]","TRUE","TRUE","Shrub","Average","Morning","mimosa_pigra"
"[""Bees""]","Medium","Perennial","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","White","Summer","TRUE","Brown","High","9","12","Summer","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""Central America"",""Mexico""]","[""Canker"",""Stem borer insects""]","0","0","[""Seed Propagation"",""Cutting""]","April","TRUE","1","[""Well-drained"",""Acidic""]","[""Full sun""]","FALSE","TRUE","Tree","Average","Morning","leucaena_leucocephala"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","Brown","Moderate","7","11","","FALSE","FALSE","TRUE","Green","Low","TRUE","[""United States"",""Mexico""]","[]","0","0","[""Seed Propagation""]","February","FALSE","1","[""Well-drained"",""Sandy""]","[""Full sun"",""Part shade""]","TRUE","TRUE","Herb","Minimum","Morning","mimosa_quadrivalvis"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Spring","TRUE","Brown","Moderate","7","10","","FALSE","FALSE","TRUE","Green","Moderate","FALSE","[""Mexico"",""United States""]","[]","0","0","[""Seed Propagation""]","March","FALSE","1","[""Well-drained"",""Sandy"",""Rocky""]","[""Full sun""]","TRUE","FALSE","Shrub","Minimum","Morning","mimosa_aculeaticarpa"
"[""Bees"",""Birds"",""Butterflies""]","Medium","Perennial","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","Pink","Spring","TRUE","Red","Moderate","4","9","Summer","FALSE","TRUE","TRUE","Green","Low","FALSE","[""North America""]","[]","0","0","[""Cutting"",""Seed Propagation""]","February","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","TRUE","FALSE","Shrub","Average","Morning","rubus_spectabilis"
"[""Birds""]","Medium","Perennial","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","","","TRUE","Red","Low","6","10","Autumn","FALSE","FALSE","TRUE","Dark green","Low","TRUE","[""Europe"",""Asia"",""North Africa""]","[]","1","1","[""Cutting"",""Seed Propagation""]","March","FALSE","1","[""Well-drained"",""Loamy""]","[""Part shade"",""Filtered shade""]","FALSE","FALSE","Tree","Average","Morning","taxus_baccata"
"[""Birds""]","Medium","Perennial","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","","","FALSE","","Moderate","8","11","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""Canary Islands""]","[]","0","0","[""Seed Propagation""]","February","TRUE","1","[""Well-drained"",""Loamy""]","[""Full sun""]","FALSE","FALSE","Tree","Minimum","Morning","pinus_canariensis"
"[]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","","Moderate","8","11","","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""Mediterranean""]","[""Aphids"",""Fungal leaf spot""]","1","1","[""Cutting"",""Seed Propagation""]","February","TRUE","1","[""Well-drained"",""Sandy"",""Loamy""]","[""Full sun""]","FALSE","FALSE","Shrub","Average","Morning","nerium_oleander"
"[""Birds""]","Medium","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","","Spring","TRUE","","High","4","8","","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""Europe"",""Southwest Asia"",""North Africa""]","[""Aphids"",""Fungal leaf spot""]","0","0","[""Seed Propagation"",""Cutting""]","February","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Tree","Average","Morning","populus_nigra"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Green","Spring","TRUE","Green","High","3","8","","FALSE","TRUE","TRUE","Green","Moderate","FALSE","[""Europe"",""Asia""]","[""Aphids"",""Leaf miners""]","0","0","[""Seed Propagation"",""Cutting""]","February","FALSE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Tree","Average","Morning","populus_alba"
"[""Birds""]","Easy","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","","Spring","TRUE","","High","2","7","","FALSE","FALSE","TRUE","Green","Moderate","TRUE","[""Europe"",""Asia""]","[]","0","0","[""Seed Propagation"",""Cutting""]","February","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Tree","Average","Morning","populus_tremula"
"[]","Easy","Perennial","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","","","FALSE","","Moderate","3","9","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""North America""]","[""Fungal leaf spot"",""Spider mites""]","0","1","[""Cutting"",""Seed Propagation""]","March","TRUE","1","[""Well-drained"",""Sandy"",""Rocky""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Shrub","Minimum","Morning","juniperus_horizontalis"
"[""Bees""]","High","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Pink","Spring","FALSE","","Low","3","8","","FALSE","FALSE","TRUE","Green","High","FALSE","[""North America""]","[""Root rot"",""Snails"",""Slugs""]","0","0","[""Seed Propagation"",""Division""]","September","FALSE","1","[""Acidic"",""Well-drained"",""Sandy""]","[""Part shade"",""Full shade""]","FALSE","FALSE","Orchid","Average","Morning","cypripedium_acaule"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","White","Summer","FALSE","","Moderate","7","10","Summer","FALSE","FALSE","TRUE","Green","Moderate","TRUE","[""California"",""Oregon""]","[""Fungal leaf spot"",""Root rot""]","0","0","[""Seed Propagation"",""Bulb Division""]","September","FALSE","1","[""Well-drained"",""Sandy"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herbaceous perennial","Minimum","Morning","chlorogalum_pomeridianum"
"[""Bees"",""Butterflies""]","Easy","Perennial","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","Yellow","Spring","TRUE","Brown","High","3","10","Spring","FALSE","TRUE","TRUE","Green","Low","TRUE","[""Europe"",""Asia""]","[""Fungal leaf spot""]","0","0","[""Seed Propagation""]","June","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herb","Average","Morning","taraxacum_officinale"
"[""Bees""]","Easy","Annual","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","Pink","Spring","TRUE","Brown","High","5","10","Spring","FALSE","TRUE","TRUE","Green","Low","TRUE","[""Europe"",""North Africa"",""Asia""]","[]","0","0","[""Seed Propagation""]","April","FALSE","1","[""Well-drained"",""Sandy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herbaceous perennial","Minimum","Morning","erodium_cicutarium"
"[]","Easy","Annual","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Blue","Summer","TRUE","","Moderate","5","8","","FALSE","FALSE","TRUE","Green","Low","TRUE","[""Europe"",""Western Asia"",""North Africa""]","[]","0","0","[""Seed Propagation""]","September","FALSE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun""]","FALSE","FALSE","Annual","Minimum","Morning","sherardia_arvensis"
"[]","Easy","Annual","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","","Spring","FALSE","","High","7","10","","FALSE","TRUE","TRUE","Green","Low","FALSE","[""Europe""]","[]","0","0","[""Seed Propagation""]","March","FALSE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Grass","Minimum","Morning","cynosurus_echinatus"
"[""Butterflies"",""Bees""]","Easy","Biennial","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Purple","Spring","FALSE","","Moderate","3","8","","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""Europe"",""Asia""]","[""Aphids"",""Flea beetles"",""Downy mildew""]","0","0","[""Seed Propagation""]","September","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herb","Average","Morning","hesperis_matronalis"
"[""Bees"",""Butterflies""]","Easy","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Spring","TRUE","","Moderate","3","8","","FALSE","FALSE","TRUE","Green","Low","TRUE","[""North America""]","[]","0","0","[""Seed Propagation"",""Cutting""]","June","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herbaceous perennial","Average","Morning","geranium_maculatum"
"[]","Easy","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","White","Summer","FALSE","","Moderate","5","9","","TRUE","FALSE","TRUE","Green","Low","TRUE","[""North America"",""Asia""]","[]","0","0","[""Seed Propagation"",""Cutting""]","September","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herb","Average","Morning","geranium_erianthum"
"[]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Green","Spring","TRUE","Green","High","2","10","","FALSE","TRUE","TRUE","Green","Moderate","FALSE","[""North America""]","[""Aphids"",""Scale insects"",""Powdery mildew""]","0","0","[""Seed Propagation"",""Cutting""]","March","TRUE","1","[""Well-drained"",""Moist"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Tree","Average","Morning","acer_negundo"
"[]","Medium","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","FALSE","","Moderate","4","10","","FALSE","TRUE","TRUE","Green","Moderate","FALSE","[""North America"",""Europe"",""Asia""]","[]","0","0","[""Seed Propagation"",""Rhizome division""]","June","FALSE","1","[""Wet"",""Moist"",""Peaty""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herbaceous perennial","Frequent","Morning","equisetum_fluviatile"
"[]","Easy","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","FALSE","","Moderate","5","9","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""North America""]","[]","0","0","[""Division""]","March","FALSE","0","[""Well-drained"",""Loamy"",""Moist""]","[""Part shade"",""Full shade""]","FALSE","FALSE","Fern","Average","Morning","polystichum_munitum"
"[""Bees"",""Butterflies""]","Easy","Perennial","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","Pink","Spring","FALSE","","Moderate","7","10","","TRUE","FALSE","TRUE","Green","Low","FALSE","[""North America""]","[""Slugs"",""Snails""]","0","1","[""Seed Propagation"",""Division""]","June","FALSE","1","[""Well-drained"",""Loamy"",""Acidic""]","[""Partial Shade"",""Full Shade""]","FALSE","FALSE","Herb","Average","Morning","oxalis_oregana"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Yellow","Spring","TRUE","","Moderate","5","9","","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""Europe"",""North Africa"",""Western Asia""]","[""Fungal leaf spot""]","0","0","[""Seed Propagation"",""Rhizome Division""]","August","TRUE","1","[""Wet"",""Loamy"",""Clay""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Flower","Average","Morning","iris_pseudacorus"
"[]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Cream","Spring","TRUE","Brown","Moderate","8","11","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""United States"",""Mexico""]","[""Fungal leaf spot""]","0","1","[""Seed Propagation""]","March","FALSE","1","[""Dry"",""Well-drained"",""Sandy""]","[""Full sun""]","TRUE","FALSE","Tree","Minimum","Morning","yucca_brevifolia"
"[]","Medium","Perennial","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","White","Spring","TRUE","Yellow","Low","5","9","Autumn","FALSE","FALSE","TRUE","Green","Low","TRUE","[""Southwestern United States"",""Mexico""]","[]","0","0","[""Seed Propagation""]","March","FALSE","1","[""Well-drained"",""Sandy""]","[""Full sun""]","TRUE","FALSE","Succulent","Minimum","Morning","yucca_baccata"
"[]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","White","Spring","TRUE","","Moderate","7","11","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""Southern United States"",""Northern Mexico""]","[]","0","0","[""Seed Propagation""]","March","FALSE","1","[""Well-drained""]","[""Full sun""]","TRUE","FALSE","Shrub","Minimum","Morning","koeberlinia_spinosa"
"[""Birds"",""Butterflies"",""Bees""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Yellow","Spring","TRUE","Brown","Moderate","8","10","","FALSE","FALSE","TRUE","Green","Moderate","FALSE","[""California""]","[""Oak root fungus"",""Leaf miners"",""Aphids""]","0","0","[""Seed Propagation""]","April","FALSE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Tree","Minimum","Morning","quercus_agrifolia"
"[""Pollinators"",""Birds""]","Easy","Annual","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Orange","Summer","TRUE","Green","High","2","11","","FALSE","TRUE","TRUE","Green","Low","FALSE","[""North America""]","[]","0","0","[""Seed Propagation""]","August","FALSE","1","[""Moist"",""Rich"",""Well-drained""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Wildflower","Frequent","Morning","impatiens_capensis"
"[""Butterflies"",""Bees""]","Easy","Annual","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Yellow","Summer","TRUE","","Moderate","4","9","","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""North America""]","[]","0","0","[""Seed Propagation""]","August","FALSE","1","[""Moist"",""Rich"",""Well-drained""]","[""Part shade"",""Full shade""]","FALSE","FALSE","Wildflower","Average","Morning","impatiens_pallida"
"[""Bees"",""Butterflies""]","Medium","Annual","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","","High","2","11","","FALSE","TRUE","TRUE","Green","High","TRUE","[""Himalayas""]","[""Fungal leaf spot""]","0","0","[""Seed Propagation""]","September","FALSE","1","[""Moist"",""Well-drained""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Annual","Frequent","Morning","impatiens_glandulifera"
"[""Birds"",""Bees""]","Easy","Perennial","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","Yellow","Summer","TRUE","Red","Moderate","4","9","Autumn","FALSE","TRUE","TRUE","Green","Low","TRUE","[""North America""]","[]","0","0","[""Seed Propagation"",""Cutting""]","February","TRUE","1","[""Sandy"",""Well-drained"",""Rocky""]","[""Full sun""]","TRUE","FALSE","Cactus","Minimum","Morning","opuntia_humifusa"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","Yellow","Spring","TRUE","Red","Moderate","7","11","Summer","FALSE","FALSE","TRUE","Green","Moderate","FALSE","[""United States"",""Mexico""]","[""Root rot"",""Scales""]","0","0","[""Cutting"",""Seed Propagation""]","June","TRUE","1","[""Well-drained"",""Sandy"",""Gravelly""]","[""Full sun""]","TRUE","FALSE","Cactus","Minimum","Morning","opuntia_macrocentra"
"[""Bees"",""Butterflies"",""Birds""]","Easy","Perennial","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","Yellow","Spring","TRUE","Green","Moderate","9","11","Summer","FALSE","TRUE","TRUE","Green","Low","TRUE","[""Mexico"",""United States""]","[]","0","0","[""Seed Propagation"",""Cutting""]","April","TRUE","1","[""Well-drained"",""Sandy"",""Gravelly""]","[""Full sun""]","TRUE","FALSE","Succulent","Minimum","Morning","opuntia_oricola"
"[""Bees"",""Butterflies""]","Easy","Perennial","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","Yellow","Spring","TRUE","Red","Moderate","8","11","Summer","FALSE","TRUE","TRUE","Green","Low","TRUE","[""North America"",""Caribbean""]","[""Cochineal insects""]","0","0","[""Seed Propagation"",""Cutting""]","June","TRUE","1","[""Sandy"",""Well-drained""]","[""Full sun""]","TRUE","TRUE","Cactus","Minimum","Morning","opuntia_stricta"
"[""Bees"",""Butterflies""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","White","Summer","TRUE","","Moderate","3","7","","FALSE","FALSE","TRUE","Green","Low","TRUE","[""North America""]","[]","0","0","[""Seed Propagation"",""Cutting""]","November","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Herbaceous perennial","Minimum","Morning","asclepias_ovalifolia"
"[""Butterflies"",""Bees""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","Brown","Moderate","9","11","","FALSE","FALSE","TRUE","Green","Moderate","TRUE","[""Mexico"",""Southwestern United States""]","[]","0","0","[""Seed Propagation""]","September","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun""]","FALSE","FALSE","Wildflower","Average","Morning","asclepias_angustifolia"
"[""Butterflies"",""Bees""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","","Moderate","4","9","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""North America""]","[""Fungal leaf spot"",""Aphids""]","1","1","[""Seed Propagation""]","March","FALSE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun""]","FALSE","FALSE","Herb","Minimum","Morning","asclepias_amplexicaulis"
"[""Bees"",""Butterflies"",""Hummingbirds""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Pink","Summer","TRUE","Green","Moderate","3","9","","FALSE","TRUE","TRUE","Green","Moderate","TRUE","[""North America""]","[""Aphids""]","0","0","[""Seed Propagation"",""Cutting""]","November","FALSE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun""]","FALSE","FALSE","Herbaceous perennial","Minimum","Morning","asclepias_syriaca"
